Disease,Symptom,Frequency
Disease,"count of disease
  occurrence",Symptom
"UMLS:C0020538_hypertensive
  disease",3363,"UMLS:C0008031_pain
  chest"
UMLS:C0011847_diabetes,1421,UMLS:C0032617_polyuria
"UMLS:C0011570_depression
  mental^UMLS:C0011581_depressive disorder",1337,"UMLS:C0424000_feeling
  suicidal"
"UMLS:C0010054_coronary
  arteriosclerosis^UMLS:C0010068_coronary heart disease",1284,"UMLS:C0008031_pain
  chest"
UMLS:C0032285_pneumonia,1029,UMLS:C0010200_cough
"UMLS:C0018802_failure
  heart congestive",963,"UMLS:C0392680_shortness
  of breath"
"UMLS:C0038454_accident
  cerebrovascular",885,UMLS:C0013362_dysarthria
UMLS:C0004096_asthma,835,UMLS:C0043144_wheezing
"UMLS:C0027051_myocardial
  infarction",759,UMLS:C0008031_pain chest
UMLS:C0020443_hypercholesterolemia,685,UMLS:C0030193_pain
UMLS:C0021311_infection,630,UMLS:C0015967_fever
"UMLS:C0042029_infection
  urinary tract",597,UMLS:C0015967_fever
UMLS:C0002871_anemia,544,UMLS:C0085593_chill
"UMLS:C0024117_chronic
  obstructive airway disease",524,UMLS:C0392680_shortness of breath
UMLS:C0497327_dementia,504,UMLS:C0015967_fever
"UMLS:C1565489_insufficiency
  renal",445,UMLS:C0392680_shortness of breath
UMLS:C0009676_confusion,408,UMLS:C0036572_seizure
"UMLS:C0029408_degenerative
  polyarthritis",405,UMLS:C0030193_pain
UMLS:C0020676_hypothyroidism,398,UMLS:C0392680_shortness of breath
"UMLS:C0700613_anxiety
  state",390,UMLS:C0233481_worry
"UMLS:C0006826_malignant
  neoplasms^UMLS:C1306459_primary malignant neoplasm",354,UMLS:C0030193_pain
"UMLS:C0001175_acquired
  immuno-deficiency
  syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections",350,UMLS:C0015967_fever
UMLS:C0007642_cellulitis,341,UMLS:C0041834_erythema
"UMLS:C0017168_gastroesophageal
  reflux disease",325,UMLS:C0030193_pain
"UMLS:C0036690_septicemia^UMLS:C0243026_systemic
  infection^UMLS:C1090821_sepsis (invertebrate)",311,UMLS:C0015967_fever
"UMLS:C0149871_deep
  vein thrombosis",310,UMLS:C0038999_swelling
UMLS:C0011175_dehydration,297,UMLS:C0015967_fever
UMLS:C0027651_neoplasm,297,UMLS:C0577559_mass of body structure
"UMLS:C0034065_embolism
  pulmonary",294,UMLS:C0392680_shortness of breath
UMLS:C0014544_epilepsy,290,UMLS:C0036572_seizure
